mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.40003037452697754,0.14313265348137177,0.004000329971313476,0.0008962829482724485,0.01,lbfgs,"{'C': 0.01, 'solver': 'lbfgs'}",0.5710059171597633,0.5710059171597633,0.5414201183431953,0.5608308605341247,0.5548961424332344,0.5598317911260162,0.011082153649887534,10
1.6533240795135498,0.06408325163549498,0.003000640869140625,0.000632108664185085,0.01,saga,"{'C': 0.01, 'solver': 'saga'}",0.5739644970414202,0.5621301775147929,0.5384615384615384,0.56973293768546,0.5667655786350149,0.5622109458676452,0.01248608730880477,9
1.0094768524169921,0.06400210772185434,0.0025990486145019533,0.0004890493223066747,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.6420118343195266,0.6449704142011834,0.6331360946745562,0.6468842729970327,0.6676557863501483,0.6469316805084894,0.011382973697246846,4
1.6619242668151855,0.12665757240729839,0.0034012794494628906,0.001019505934421952,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",0.6597633136094675,0.6449704142011834,0.6301775147928994,0.6379821958456974,0.6617210682492581,0.6469229013397012,0.012231257682667541,5
1.2308918952941894,0.2149387092959667,0.0026005268096923827,0.000489765167110052,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.636094674556213,0.6627218934911243,0.6449704142011834,0.6439169139465876,0.6735905044510386,0.6522588801292294,0.01377319514129786,3
1.6927259922027589,0.0926585400538164,0.003000307083129883,0.0010958016838033074,1,saga,"{'C': 1, 'solver': 'saga'}",0.6242603550295858,0.6538461538461539,0.6301775147928994,0.629080118694362,0.6468842729970327,0.6368496830720066,0.01142758202300599,7
1.3721027374267578,0.2880747639073357,0.0027994632720947264,0.00039956715846606647,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.6479289940828402,0.6804733727810651,0.650887573964497,0.6498516320474778,0.6735905044510386,0.6605464154653837,0.013668231920526559,1
1.6227224349975586,0.12944275066457683,0.0024001598358154297,0.0004903687941873826,10,saga,"{'C': 10, 'solver': 'saga'}",0.6242603550295858,0.6568047337278107,0.6331360946745562,0.6201780415430267,0.6498516320474778,0.6368461714044915,0.014265203908767569,8
1.2114906787872315,0.16165136722644072,0.0031999588012695313,0.00040035318794387454,100,lbfgs,"{'C': 100, 'solver': 'lbfgs'}",0.6449704142011834,0.6893491124260355,0.6538461538461539,0.6439169139465876,0.6706231454005934,0.6605411479641108,0.017292665159388123,2
1.6333228588104247,0.054535524801656035,0.010800504684448242,0.015105858183589017,100,saga,"{'C': 100, 'solver': 'saga'}",0.6242603550295858,0.6568047337278107,0.6331360946745562,0.6231454005934718,0.6498516320474778,0.6374396432145805,0.013605908544335958,6
